State_name,FIPS_code,Area_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,State_code
Arkansas,05025,Cleveland County,2867.0,651.0,3600.0,2216.0,0.7963888888888889,0.1808333333333333,0.6155555555555556,AR
Arkansas,05027,Columbia County,5500.0,2814.0,8616.0,2686.0,0.638347260909935,0.3266016713091922,0.3117455896007428,AR
Arkansas,05029,Conway County,5694.0,2615.0,8685.0,3079.0,0.6556131260794473,0.3010938399539435,0.3545192861255037,AR
Arkansas,05031,Craighead County,25558.0,11921.0,38511.0,13637.0,0.6636545402612241,0.3095479213731141,0.3541066188881099,AR
Arkansas,05033,Crawford County,18607.0,4959.0,24091.0,13648.0,0.7723631231580258,0.2058445062471462,0.5665186169108796,AR
Arkansas,05035,Crittenden County,7333.0,8514.0,16367.0,-1181.0,0.4480356815543471,0.5201930714242072,-0.07215738986986,AR
Arkansas,05037,Cross County,4946.0,1772.0,6942.0,3174.0,0.7124747911264765,0.2552578507634687,0.4572169403630077,AR
Arkansas,05039,Dallas County,1573.0,963.0,2649.0,610.0,0.5938089845224613,0.3635334088335221,0.2302755756889392,AR
Arkansas,05041,Desha County,1921.0,2016.0,4164.0,-95.0,0.4613352545629203,0.484149855907781,-0.0228146013448606,AR
Arkansas,05043,Drew County,4349.0,2426.0,6908.0,1923.0,0.6295599305153445,0.3511870295309786,0.2783729009843659,AR
Arkansas,05045,Faulkner County,34421.0,18347.0,54428.0,16074.0,0.6324134636584111,0.3370875284779893,0.2953259351804218,AR
Arkansas,05047,Franklin County,5677.0,1300.0,7129.0,4377.0,0.7963248702482817,0.1823537663066348,0.6139711039416468,AR
Arkansas,05049,Fulton County,3961.0,1035.0,5119.0,2926.0,0.7737839421762063,0.2021879273295565,0.5715960148466497,AR
Arkansas,05051,Garland County,29069.0,14045.0,44199.0,15024.0,0.6576845629991629,0.3177673703024955,0.3399171926966673,AR
Arkansas,05053,Grant County,6794.0,1268.0,8200.0,5526.0,0.8285365853658536,0.1546341463414634,0.6739024390243902,AR
Arkansas,05055,Greene County,12670.0,3058.0,16100.0,9612.0,0.7869565217391304,0.1899378881987577,0.5970186335403727,AR
Arkansas,05057,Hempstead County,4470.0,2138.0,6848.0,2332.0,0.6527453271028038,0.3122079439252336,0.3405373831775701,AR
Arkansas,05059,Hot Spring County,9202.0,3082.0,12557.0,6120.0,0.7328183483316079,0.2454407899976109,0.487377558333997,AR
